id_colaborador,id_ultimo_jefe,seniority,modalidad_trabajo,distancia_oficina,dias_baja_salud,genero,canal_reclutamiento,permanencia_promedio,fecha_nacimiento,salario,performance_score,psi_score,fecha_incorporacion,estado_civil,abandono_6meses
104103,102021.0,1,Híbrida,1.045,6,Mujer,Portal Web,1,26/03/2000,124172,91.0,69,13/06/2013,Soltero,1
103012,102118.0,1,Híbrida,1.71,1,Mujer,Referidos,3,7/06/1999,143012,91.0,77,8/08/2020,Soltero,0
102957,102044.0,1,Híbrida,5.15,2,Hombre,Portal Web,2,9/02/1999,141388,91.0,72,14/02/2013,Casado,0
103989,102105.0,1,Híbrida,1.425,3,Hombre,Portal Web,4,23/11/1997,162463,91.0,64,5/07/2020,Soltero,1
103893,102156.0,1,Híbrida,2.135,0,Mujer,Portal Web,3,17/06/1996,182100,91.0,87,29/08/2022,Soltero,1
102514,102171.0,1,Híbrida,2.295,0,Hombre,Portal Web,5,23/06/1994,208134,91.0,66,25/06/2023,Soltero,0
103692,102126.0,1,Híbrida,3.505,2,Hombre,Ferias & Networking,3,18/09/1994,206256,91.0,86,12/06/2021,Soltero,0
103228,102156.0,1,Híbrida,1.345,0,Hombre,Referidos,5,16/12/1988,332717,91.0,75,28/09/2022,Soltero,0
103524,102091.0,1,Híbrida,0.71,3,Mujer,Portal Web,6,18/01/1988,351497,91.0,73,25/02/2017,Soltero,0
102708,102123.0,1,Híbrida,2.49,1,Mujer,Portal Web,6,7/11/1987,348568,91.0,73,30/04/2020,Viudo,0
102239,102064.0,1,Híbrida,5.785,0,Hombre,Referidos,8,23/04/1987,345385,91.0,73,12/11/2014,Casado,0
103319,102129.0,1,Híbrida,1.825,3,Hombre,Ferias & Networking,2,5/08/1985,386314,91.0,66,13/01/2022,Soltero,1
103054,102021.0,1,Híbrida,2.335,2,Mujer,Linkedin,4,9/12/1984,407156,91.0,74,28/09/2012,Casado,0
102597,102042.0,1,Híbrida,6.63,9,Hombre,Linkedin,11,24/09/1983,425198,91.0,65,11/09/2012,Casado,0
103454,102090.0,1,Híbrida,1.985,1,Mujer,Linkedin,3,2/09/1981,867018,91.0,75,24/12/2018,Casado,0
102889,102025.0,1,Híbrida,2.71,2,Mujer,Referidos,12,5/11/1980,485490,91.0,78,7/07/2013,Viudo,0
103857,102045.0,1,Híbrida,1.54,1,Mujer,Linkedin,5,26/06/1978,256642,91.0,81,31/07/2015,Soltero,0
103361,102049.0,1,Híbrida,5.085,2,Mujer,Linkedin,5,25/10/1978,254243,91.0,72,14/09/2014,Casado,0
103395,102042.0,1,Híbrida,2.67,2,Mujer,Ferias & Networking,8,25/03/1978,374624,91.0,64,12/05/2014,Casado,0
102851,102042.0,1,Híbrida,6.465,1,Mujer,Portal Web,13,3/01/1978,265523,91.0,73,29/05/2013,Casado,0
104162,102119.0,1,Híbrida,4.66,0,Mujer,Portal Web,6,24/07/1975,461479,91.0,74,26/03/2021,Soltero,0
103125,102159.0,1,Híbrida,2.335,2,Mujer,Linkedin,11,14/10/1974,294705,91.0,70,24/04/2023,Viudo,1
103202,102016.0,1,Híbrida,5.645,3,Hombre,Referidos,6,4/12/1974,301384,91.0,76,18/10/2012,Soltero,1
103473,102143.0,1,Híbrida,1.535,6,Hombre,Portal Web,11,24/05/1972,635064,91.0,75,31/03/2023,Viudo,0
104088,102120.0,1,Híbrida,3.27,0,Mujer,Portal Web,13,9/06/1971,657510,91.0,64,26/04/2022,Divorciado,0
104022,102110.0,1,Híbrida,2.425,5,Hombre,Portal Web,7,3/02/1971,660549,91.0,72,3/06/2019,Viudo,1
102387,102073.0,1,Híbrida,0.84,1,Hombre,Referidos,8,23/05/1970,676398,91.0,82,21/04/2015,Viudo,0
102524,102001.0,1,Híbrida,5.175,1,Hombre,Referidos,13,22/12/1969,696350,91.0,75,13/01/2012,Divorciado,0
102672,102139.0,1,Híbrida,6.39,7,Hombre,Portal Web,5,6/07/1967,740155,91.0,67,11/03/2023,Casado,0
103321,102114.0,1,Híbrida,6.405,12,Mujer,Linkedin,7,28/10/1967,919363,91.0,74,9/09/2018,Viudo,0
103804,102119.0,1,Híbrida,3.965,1,Hombre,Portal Web,20,1/11/1964,919874,91.0,74,2/02/2022,Casado,1
103537,102129.0,1,Híbrida,2.76,2,Hombre,Portal Web,4,31/01/1963,898019,91.0,68,2/05/2020,Viudo,0
100364,102040.0,1,Híbrida,2.005,6,Hombre,Portal Web,2,21/12/2000,118012,90.0,72,30/08/2012,Soltero,0
100610,102069.0,1,Híbrida,2.185,1,Hombre,Linkedin,3,6/11/1998,147812,90.0,81,5/11/2014,Soltero,1
100049,102027.0,1,Híbrida,2.06,1,Hombre,Portal Web,2,25/06/1998,142895,90.0,62,12/06/2013,Soltero,0
100596,102124.0,1,Híbrida,0.985,1,Mujer,Referidos,2,16/07/1996,181845,90.0,66,11/07/2019,Casado,0
101501,102084.0,1,Híbrida,1.53,2,Hombre,Ferias & Networking,3,9/12/1996,180818,90.0,74,16/07/2016,Soltero,0
100403,102049.0,1,Híbrida,1.67,1,Hombre,Ferias & Networking,4,3/01/1997,186063,90.0,83,19/03/2013,Casado,0
100999,102156.0,1,Híbrida,1.34,0,Hombre,Referidos,5,22/11/1988,330628,90.0,75,1/10/2022,Soltero,0
100684,102080.0,1,Híbrida,5.205,3,Hombre,Portal Web,2,19/12/1988,325874,90.0,79,2/08/2016,Casado,1
101130,102111.0,1,Híbrida,3.17,1,Hombre,Ferias & Networking,2,6/12/1986,371048,90.0,67,26/07/2019,Soltero,1
100117,102044.0,1,Híbrida,2.305,1,Mujer,Linkedin,6,22/03/1985,385656,90.0,61,16/08/2013,Soltero,0
100810,102021.0,1,Híbrida,2.35,2,Mujer,Linkedin,4,17/08/1984,404582,90.0,74,28/09/2012,Casado,0
101940,102042.0,1,Híbrida,6.67,8,Hombre,Linkedin,11,15/09/1983,432492,90.0,65,9/09/2012,Casado,0
101617,102067.0,1,Híbrida,3.92,3,Hombre,Linkedin,5,7/06/1982,825544,90.0,73,4/09/2014,Soltero,1
101309,102090.0,1,Híbrida,2.0,1,Mujer,Linkedin,3,10/09/1981,864639,90.0,75,24/12/2018,Casado,1
101560,102113.0,1,Híbrida,5.015,5,Hombre,Linkedin,3,31/05/1981,469101,90.0,69,6/05/2018,Soltero,0
101782,102056.0,1,Híbrida,2.5,4,Mujer,Portal Web,7,16/10/1979,910297,90.0,73,4/11/2013,Casado,1
100922,102133.0,1,Híbrida,3.59,3,Hombre,Portal Web,13,6/09/1978,255757,90.0,65,24/01/2020,Soltero,0
101255,102099.0,1,Híbrida,4.13,6,Hombre,Portal Web,3,19/05/1977,265912,90.0,65,5/02/2017,Divorciado,0
101939,102020.0,1,Híbrida,1.265,0,Hombre,Referidos,11,21/07/1976,422093,90.0,70,24/05/2012,Casado,0
101848,102119.0,1,Híbrida,4.675,1,Mujer,Portal Web,6,1/07/1975,459275,90.0,74,27/03/2021,Soltero,1
101757,102112.0,1,Híbrida,1.35,2,Hombre,Referidos,5,28/02/1974,311994,90.0,76,5/02/2021,Divorciado,0
100046,102103.0,1,Híbrida,4.52,2,Mujer,Linkedin,15,11/09/1974,299129,90.0,66,13/06/2019,Divorciado,1
100381,102034.0,1,Híbrida,2.02,6,Hombre,Linkedin,5,20/05/1974,299497,90.0,80,4/01/2012,Casado,0
101430,102120.0,1,Híbrida,3.265,1,Mujer,Portal Web,13,11/08/1971,660103,90.0,64,25/04/2022,Divorciado,1
100840,102110.0,1,Híbrida,2.415,5,Hombre,Portal Web,7,12/05/1971,657264,90.0,72,3/06/2019,Viudo,1
100925,102084.0,1,Híbrida,2.27,10,Hombre,Linkedin,16,27/01/1971,679779,90.0,80,4/10/2018,Divorciado,1
101154,102064.0,1,Híbrida,4.77,2,Hombre,Ferias & Networking,10,18/05/1971,779531,90.0,73,13/04/2017,Viudo,0
101458,102079.0,1,Híbrida,2.33,1,Mujer,Portal Web,15,31/08/1971,821808,90.0,70,24/04/2016,Casado,0
100724,102031.0,1,Híbrida,4.42,9,Mujer,Portal Web,11,19/05/1968,774599,90.0,73,9/01/2013,Viudo,1
101065,102139.0,1,Híbrida,6.4,8,Hombre,Portal Web,5,21/10/1967,735919,90.0,67,8/03/2023,Casado,0
101525,102068.0,1,Híbrida,3.04,2,Hombre,Ferias & Networking,18,4/06/1967,734211,90.0,71,19/02/2017,Divorciado,1
102894,102082.0,1,Híbrida,1.405,2,Mujer,Referidos,1,27/05/2002,83588,90.0,89,21/08/2016,Soltero,0
102379,102015.0,1,Híbrida,5.935,3,Mujer,Referidos,1,22/06/2001,99663,90.0,80,19/09/2012,Casado,0
104137,102107.0,1,Híbrida,1.92,3,Hombre,Portal Web,2,26/09/1998,144752,90.0,80,7/12/2020,Soltero,1
102972,102027.0,1,Híbrida,2.105,1,Hombre,Referidos,2,7/07/1998,148178,90.0,62,12/06/2013,Soltero,0
103195,102083.0,1,Híbrida,1.085,3,Mujer,Referidos,4,2/09/1997,163871,90.0,73,22/07/2017,Soltero,0
103722,102153.0,1,Híbrida,2.37,1,Hombre,Portal Web,2,1/07/1994,205076,90.0,73,28/08/2021,Casado,0
103020,102141.0,1,Híbrida,1.58,1,Hombre,Referidos,3,3/03/1993,245041,90.0,73,8/06/2022,Casado,1
103977,102102.0,1,Híbrida,1.45,2,Mujer,Referidos,7,27/01/1992,272773,90.0,86,2/10/2019,Divorciado,1
103143,102036.0,1,Híbrida,2.71,1,Mujer,Portal Web,5,25/01/1992,271243,90.0,74,28/12/2013,Casado,1
103498,102125.0,1,Híbrida,2.215,1,Hombre,Ferias & Networking,5,18/12/1989,307301,90.0,79,18/12/2020,Soltero,1
102879,102090.0,1,Híbrida,3.715,1,Hombre,Linkedin,7,13/03/1989,329037,90.0,89,18/11/2018,Soltero,0
103429,102100.0,1,Híbrida,2.86,1,Mujer,Linkedin,6,18/11/1989,307843,90.0,74,11/06/2017,Casado,0
102837,102024.0,1,Híbrida,4.555,1,Mujer,Portal Web,4,19/06/1989,310948,90.0,59,16/07/2012,Soltero,1
103815,102134.0,1,Híbrida,5.65,3,Hombre,Referidos,4,14/12/1983,426674,90.0,72,15/10/2022,Soltero,0
102848,102113.0,1,Híbrida,3.37,2,Hombre,Linkedin,5,14/03/1983,452080,90.0,70,14/12/2020,Casado,0
104139,102104.0,1,Híbrida,3.735,5,Hombre,Linkedin,10,5/07/1983,426754,90.0,77,7/11/2020,Soltero,1
102664,102071.0,1,Híbrida,3.4,0,Hombre,Referidos,11,13/11/1983,431910,90.0,76,6/06/2016,Casado,0
103624,102113.0,1,Híbrida,5.02,5,Hombre,Linkedin,3,23/06/1981,468623,90.0,69,8/05/2018,Soltero,1
103118,102062.0,1,Híbrida,5.05,1,Hombre,Referidos,4,9/12/1980,484549,90.0,86,28/12/2013,Casado,1
102497,102132.0,1,Híbrida,1.55,1,Hombre,Referidos,4,21/12/1979,251479,90.0,78,17/11/2021,Soltero,0
104041,102123.0,1,Híbrida,7.18,1,Hombre,Portal Web,4,25/10/1976,279576,90.0,89,20/04/2021,Casado,1
102605,102054.0,1,Híbrida,5.87,1,Hombre,Referidos,5,9/03/1976,291144,90.0,79,28/11/2015,Casado,0
102203,102020.0,1,Híbrida,1.27,0,Hombre,Portal Web,11,11/08/1976,421740,90.0,70,22/05/2012,Casado,0
102323,102085.0,1,Híbrida,5.18,3,Hombre,Portal Web,13,9/10/1975,287291,90.0,81,26/05/2017,Divorciado,0
103172,102133.0,1,Híbrida,5.47,3,Hombre,Portal Web,14,21/08/1974,293626,90.0,76,13/04/2022,Casado,0
103526,102028.0,1,Híbrida,1.495,2,Hombre,Portal Web,13,10/02/1974,385172,90.0,71,19/08/2014,Soltero,1
102771,102112.0,1,Híbrida,1.32,3,Hombre,Referidos,5,9/01/1974,304335,90.0,76,5/02/2021,Divorciado,0
102970,102057.0,1,Híbrida,3.115,2,Hombre,Portal Web,7,19/12/1972,639511,90.0,70,29/04/2015,Viudo,0
103856,102106.0,1,Híbrida,1.49,5,Hombre,Portal Web,4,9/07/1970,682429,90.0,74,25/06/2019,Soltero,1
104024,102043.0,1,Híbrida,1.59,5,Mujer,Portal Web,11,7/05/1970,758724,90.0,74,17/04/2014,Divorciado,1
103945,102031.0,1,Híbrida,4.42,9,Mujer,Portal Web,11,31/05/1968,776059,90.0,73,8/01/2013,Viudo,1
102315,102052.0,1,Híbrida,4.755,6,Hombre,Portal Web,5,8/09/1965,921529,90.0,71,12/02/2013,Casado,0
103763,102047.0,1,Híbrida,6.065,2,Mujer,Portal Web,9,24/07/1964,893413,90.0,79,3/11/2014,Soltero,1
101461,102062.0,1,Híbrida,5.045,1,Hombre,Referidos,4,22/10/1980,491005,89.0,86,26/12/2013,Casado,1
101812,102123.0,1,Híbrida,7.17,1,Hombre,Portal Web,4,17/08/1976,280650,89.0,89,19/04/2021,Casado,1
102639,102040.0,1,Híbrida,1.995,7,Hombre,Portal Web,2,6/11/2000,122797,89.0,72,1/09/2012,Soltero,0
103776,102049.0,1,Híbrida,1.645,1,Hombre,Ferias & Networking,4,10/10/1996,182149,89.0,83,20/03/2013,Casado,0
103673,102125.0,1,Híbrida,1.905,6,Mujer,Portal Web,2,2/04/1994,208227,89.0,62,30/07/2021,Casado,1
102174,102068.0,1,Híbrida,1.475,0,Mujer,Ferias & Networking,5,15/09/1983,429359,89.0,68,7/08/2015,Casado,0
103599,102105.0,1,Híbrida,1.47,1,Hombre,Referidos,3,6/01/1979,529355,89.0,77,6/04/2020,Casado,0
100266,102092.0,1,Híbrida,5.155,1,Mujer,Ferias & Networking,1,6/12/1997,164871,88.0,68,21/02/2019,Soltero,0
100483,102121.0,1,Híbrida,3.11,3,Mujer,Portal Web,6,26/12/1988,325130,87.0,72,10/07/2019,Casado,0
101499,102106.0,1,Híbrida,1.51,2,Mujer,Portal Web,6,10/10/1984,787447,87.0,62,6/02/2021,Soltero,0
103385,102092.0,1,Híbrida,5.14,1,Mujer,Ferias & Networking,1,12/12/1997,161194,87.0,68,22/02/2019,Soltero,1
103153,102082.0,1,Híbrida,3.26,0,Hombre,Portal Web,7,6/07/1990,293344,87.0,73,22/08/2015,Casado,1
103584,102121.0,1,Híbrida,3.11,2,Mujer,Portal Web,6,26/12/1988,327492,87.0,72,7/07/2019,Casado,0
101483,102082.0,1,Híbrida,3.225,1,Hombre,Portal Web,7,20/06/1990,288860,86.0,73,24/08/2015,Casado,1
102397,102092.0,1,Híbrida,5.275,1,Mujer,Ferias & Networking,1,31/07/2000,118928,86.0,90,2/08/2018,Soltero,1
100344,102059.0,1,Híbrida,1.98,1,Mujer,Linkedin,1,27/08/1995,185710,85.0,88,27/05/2014,Soltero,1
101257,102064.0,1,Híbrida,2.305,2,Hombre,Ferias & Networking,6,17/02/1990,312988,85.0,78,10/10/2014,Casado,0
101597,102017.0,1,Híbrida,5.425,3,Mujer,Portal Web,13,31/08/1976,279971,85.0,86,30/10/2012,Casado,0
101084,102065.0,1,Híbrida,4.45,1,Mujer,Referidos,4,28/12/1971,655294,85.0,76,12/08/2017,Soltero,0
102764,102087.0,1,Híbrida,2.435,1,Mujer,Referidos,4,16/12/1998,145826,85.0,77,24/11/2016,Soltero,0
102464,102091.0,1,Híbrida,5.25,1,Mujer,Portal Web,5,8/04/1983,432157,85.0,73,29/11/2017,Soltero,0
102554,102117.0,1,Híbrida,2.93,0,Mujer,Referidos,6,9/12/1979,247075,85.0,73,21/03/2020,Soltero,0
103492,102059.0,1,Híbrida,1.985,1,Mujer,Linkedin,1,29/07/1995,192368,84.0,88,30/05/2014,Soltero,1
102856,102142.0,1,Híbrida,3.395,11,Hombre,Portal Web,8,28/05/1974,294775,84.0,74,30/03/2022,Divorciado,0
103282,102065.0,1,Híbrida,4.445,1,Mujer,Referidos,4,20/01/1972,661443,84.0,76,12/08/2017,Soltero,1
101140,102108.0,1,Híbrida,1.77,1,Hombre,Portal Web,4,14/03/1991,272512,83.0,73,3/01/2019,Soltero,1
103961,102086.0,1,Híbrida,2.67,14,Hombre,Ferias & Networking,6,1/07/1983,424725,83.0,86,10/08/2018,Soltero,1
102442,102131.0,1,Híbrida,0.915,6,Hombre,Linkedin,16,20/04/1970,877120,83.0,85,20/02/2023,Casado,0
102718,102061.0,1,Híbrida,1.855,3,Hombre,Portal Web,16,21/05/1970,776515,83.0,78,9/03/2014,Soltero,0
100314,102041.0,1,Híbrida,0.795,3,Hombre,Portal Web,3,1/09/1992,245947,82.0,69,9/07/2015,Casado,1
100921,102131.0,1,Híbrida,0.95,7,Hombre,Linkedin,16,10/03/1970,874739,82.0,85,20/02/2023,Casado,1
103616,102041.0,1,Híbrida,0.79,3,Hombre,Portal Web,3,6/08/1992,251419,82.0,69,11/07/2015,Casado,1
101144,102010.0,1,Híbrida,1.55,1,Hombre,Referidos,2,26/03/1999,159568,81.0,84,4/05/2012,Soltero,1
101587,102085.0,1,Híbrida,3.505,1,Mujer,Referidos,3,6/04/1998,148314,81.0,63,18/03/2016,Soltero,1
100628,102081.0,1,Híbrida,4.155,3,Mujer,Portal Web,7,29/11/1990,290832,81.0,71,29/09/2016,Casado,0
101536,102042.0,1,Híbrida,6.375,3,Hombre,Linkedin,3,9/11/1972,641367,81.0,74,28/10/2014,Divorciado,0
102924,102010.0,1,Híbrida,1.505,2,Hombre,Referidos,2,26/01/1999,156060,81.0,84,5/05/2012,Soltero,0
103094,102038.0,1,Híbrida,3.425,2,Mujer,Portal Web,9,23/08/1979,507562,81.0,79,12/09/2014,Casado,1
101402,102133.0,1,Híbrida,1.86,1,Mujer,Ferias & Networking,1,16/06/2000,118306,80.0,75,24/09/2022,Soltero,1
101539,102105.0,1,Híbrida,7.235,2,Mujer,Ferias & Networking,13,4/05/1978,255797,80.0,74,18/11/2018,Casado,0
103988,102081.0,1,Híbrida,4.12,3,Mujer,Portal Web,5,22/11/1990,288616,80.0,71,27/09/2016,Casado,1
103311,102144.0,1,Híbrida,2.235,0,Mujer,Portal Web,8,2/10/1980,493105,80.0,79,30/01/2023,Casado,0
103246,102105.0,1,Híbrida,7.265,2,Mujer,Ferias & Networking,13,4/05/1978,255768,80.0,74,21/11/2018,Casado,0
100507,102039.0,1,Híbrida,6.92,1,Hombre,Portal Web,4,26/11/1994,208020,79.0,64,13/11/2012,Casado,0
101379,102103.0,1,Híbrida,2.98,0,Hombre,Portal Web,3,22/09/1985,384716,79.0,82,8/02/2019,Casado,0
101720,102129.0,1,Híbrida,1.24,1,Hombre,Referidos,8,11/07/1981,471585,79.0,67,4/05/2022,Soltero,1
100239,102052.0,1,Híbrida,2.09,3,Mujer,Linkedin,6,23/08/1979,504341,79.0,75,21/09/2015,Casado,1
100231,102042.0,1,Híbrida,5.725,10,Mujer,Linkedin,3,9/10/1975,289954,79.0,79,13/07/2012,Soltero,1
101612,102094.0,1,Híbrida,3.12,3,Mujer,Portal Web,14,5/10/1972,633855,79.0,87,16/08/2017,Casado,0
101828,102154.0,1,Híbrida,1.72,1,Hombre,Linkedin,1,18/05/1967,893868,79.0,76,27/02/2023,Viudo,0
102347,102143.0,1,Híbrida,2.11,8,Hombre,Linkedin,5,12/08/1978,261929,79.0,89,27/01/2021,Soltero,1
100544,102064.0,1,Híbrida,1.99,1,Hombre,Linkedin,1,22/07/2001,103345,78.0,69,12/09/2016,Soltero,0
101872,102105.0,1,Híbrida,2.33,1,Hombre,Portal Web,2,29/12/1995,185934,78.0,71,4/11/2020,Soltero,0
101869,102075.0,1,Híbrida,3.115,1,Hombre,Linkedin,9,10/04/1988,324737,78.0,77,5/07/2017,Soltero,0
101789,102122.0,1,Híbrida,2.12,3,Mujer,Portal Web,7,5/07/1985,386862,78.0,65,28/03/2019,Soltero,1
101431,102134.0,1,Híbrida,1.795,2,Hombre,Linkedin,7,11/03/1980,491303,78.0,78,13/02/2020,Casado,0
101557,102063.0,1,Híbrida,2.275,8,Mujer,Portal Web,11,23/12/1979,251575,78.0,83,5/04/2014,Soltero,0
100010,102011.0,1,Híbrida,2.435,2,Mujer,Linkedin,15,7/12/1973,311664,78.0,73,3/06/2012,Viudo,0
103021,102064.0,1,Híbrida,1.94,1,Hombre,Linkedin,1,11/05/2001,100723,78.0,69,14/09/2016,Soltero,0
103557,102050.0,1,Híbrida,2.29,2,Hombre,Linkedin,2,26/05/1997,167538,78.0,74,9/08/2015,Soltero,0
103898,102134.0,1,Híbrida,3.85,10,Mujer,Linkedin,4,3/10/1981,470457,78.0,59,2/12/2022,Divorciado,1
102777,102107.0,1,Híbrida,2.74,9,Mujer,Portal Web,14,20/06/1973,307086,78.0,73,5/04/2019,Casado,0
102823,102113.0,1,Híbrida,3.87,5,Hombre,Portal Web,13,16/08/1972,916562,78.0,79,13/08/2019,Casado,1
103911,102028.0,1,Híbrida,5.7,5,Hombre,Linkedin,15,4/06/1972,639599,78.0,76,30/04/2013,Casado,1
101761,102096.0,1,Híbrida,2.125,4,Hombre,Linkedin,2,16/04/1997,160729,77.0,80,30/12/2019,Soltero,1
101860,102050.0,1,Híbrida,2.3,3,Hombre,Linkedin,2,21/03/1997,166829,77.0,74,12/08/2015,Soltero,0
